correct	remote	native	IST	remote	native	JSR310	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	IST	thick remote	jdbc	JSR310	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	IST	local	native	JSR310	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	IST	thick local	jdbc	JSR310	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	IST	remote	native	JSR310	IST	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	IST	thick remote	jdbc	JSR310	IST	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	remote	jdbc	calendarized	EST5EDT	2019-09-08		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	thick remote	jdbc	calendarized	EST5EDT	2019-09-09		17:09:09		2019-09-09 16:09:09.0909	
correct	remote	native	IST	local	jdbc	calendarized	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	local->remote	jdbc	calendarized	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.0909	
correct	remote	native	IST	thick local	jdbc	calendarized	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	remote	jdbc	calendarized	IST	2019-09-08		06:39:09		2019-09-09 06:39:09.0909	
INVALID	remote	native	IST	thick remote	jdbc	calendarized	IST	2019-09-08		22:39:09		2019-09-08 23:39:09.0909	
correct	remote	native	IST	remote	binary	legacy	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	remote	jdbc	legacy	EST5EDT	2019-09-09		17:09:09		2019-09-09 16:09:09.0909	
correct	remote	native	IST	remote	native	legacy	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	thick remote	jdbc	legacy	EST5EDT	2019-09-09		17:09:09		2019-09-09 16:09:09.0909	
INVALID	remote	native	IST	local	binary	legacy	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.0909	
correct	remote	native	IST	local	jdbc	legacy	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	local	native	legacy	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.0909	
INVALID	remote	native	IST	local->remote	jdbc	legacy	Europe/Moscow	2019-09-08		09:09:09		2019-09-09 09:09:09.0909	
